Town,total_no_of_units
Ang Mo Kio,"1,698"
Bedok,"5,627"
Bidadari,"1,216"
Bishan,"2,706"
Bukit Batok,"2,610"
Bukit Merah,"4,399"
Bukit Panjang,334
Central Area,960
Choa Chu Kang,"3,986"
Geylang,"2,679"
Hougang,"2,385"
Jurong East,"1,131"
Jurong West,"5,154"
Kallang/Whampoa,"10,523"
Pasir Ris,"1,837"
Punggol,962
Queenstown,"7,982"
Sembawang,"2,193"
Sengkang,"1,396"
Serangoon,330
Tampines,"5,507"
Tengah,"15,261"
Toa Payoh,"3,251"
Woodlands,"8,579"
Yishun,"6,756"
Grand Total,"99,462"
